,favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
216,1102,Twitter for Android,"Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all.",,False,Wed Feb 01 03:45:26 +0000 2017,297,826637556787838976
217,765,Twitter for Android,"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!",,False,Wed Feb 01 12:50:16 +0000 2017,303,826774668245946368
218,1119,Twitter for Android,Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,,False,Thu Feb 02 03:06:14 +0000 2017,315,826990079738540033
219,6,Twitter for Android,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,,False,Thu Feb 02 03:55:49 +0000 2017,5,827002559122567168
220,538,Twitter for Android,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,,False,Thu Feb 02 11:13:13 +0000 2017,210,827112633224544256
221,908,Twitter for Android,Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!,,False,Thu Feb 02 11:18:21 +0000 2017,177,827113926517194757
222,34,Twitter for Android,Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!,,False,Thu Feb 02 11:25:40 +0000 2017,13,827115768202534913
223,75,Twitter for Android,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,,False,Thu Feb 02 11:34:36 +0000 2017,29,827118012784373760
224,7,Twitter for Android,Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion,,False,Thu Feb 02 11:39:49 +0000 2017,3,827119326880813056
225,1149,Twitter for iPhone,"Thank you, @Samsung! We would love to have you! https://t.co/r5nxC9oOA4",,False,Thu Feb 02 17:29:16 +0000 2017,333,827207267632164868
226,3,Twitter for Android,"Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!",,False,Fri Feb 03 11:24:51 +0000 2017,2,827477947154063361
227,1775,Twitter for Android,"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",,False,Fri Feb 03 11:28:02 +0000 2017,565,827478751931924480
228,194,Twitter for Android,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,,False,Fri Feb 03 11:34:32 +0000 2017,93,827480386120929280
229,1646,Twitter for Android,"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!",,False,Fri Feb 03 11:41:11 +0000 2017,341,827482059438432260
230,1437,Twitter for Android,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!",,False,Fri Feb 03 11:48:16 +0000 2017,435,827483841589891073
231,3,Twitter for Android,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,,False,Fri Feb 03 12:51:58 +0000 2017,1,827499871011819520
232,122,Twitter for Android,"We must keep ""evil"" out of our country!",,False,Fri Feb 03 23:08:38 +0000 2017,73,827655062835052544
233,11,Twitter for Android,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,,False,Sat Feb 04 03:07:47 +0000 2017,9,827715246135574530
234,90,Twitter for Android,"When a country is no longer able to say who can, and who cannot , come in &amp; out, especially for reasons of safety &amp;.security - big trouble!",,False,Sat Feb 04 12:59:35 +0000 2017,46,827864176043376640
235,42,Twitter for Android,Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death &amp; destruction!,,False,Sat Feb 04 13:06:39 +0000 2017,39,827865957750161408
236,2656,Twitter for Android,"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!",,False,Sat Feb 04 13:12:02 +0000 2017,612,827867311054974976
237,323,Twitter for Android,"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!",,False,Sat Feb 04 13:39:27 +0000 2017,122,827874208021639168
238,4082,Twitter for Android,MAKE AMERICA GREAT AGAIN!,,False,Sat Feb 04 14:26:10 +0000 2017,1457,827885966509604865
239,2171,Twitter for Android,"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?",,False,Sat Feb 04 20:44:07 +0000 2017,597,827981079042805761
